d.por.trait_name;d.por.specie_name;d.por.value;d.por.standard_unit;d.por.value_type;d.por.location_name;d.por.methodology_name;;
Skeletal density;Porites astreoides;1,67;g cm-3;mean;Rio Bueno, Jamaica;Archimedes principle;;MEAN DENSITY
Skeletal density;Porites astreoides;1,69;g cm-3;mean;Rio Bueno, Jamaica;Archimedes principle;;1,36
Skeletal density;Porites astreoides;1,62;g cm-3;mean;Rio Bueno, Jamaica;Archimedes principle;;
Skeletal density;Porites astreoides;1,68;g cm-3;mean;Rio Bueno, Jamaica;Archimedes principle;;
Skeletal density;Porites lutea;1,41;g cm-3;mean;Enewetak Atoll, Marshall Islands;Archimedes principle;;
Skeletal density;Porites astreoides;1,48;g cm-3;mean;Turneffe Atoll, Belize;Archimedes principle;;
Skeletal density;Porites lobata;1,46;g cm-3;mean;Pandora Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,48;g cm-3;mean;Pandora Reef;X-radiography (densitometer);;
Skeletal density;Porites lutea;1,34;g cm-3;mean;Pandora Reef;X-radiography (densitometer);;
Skeletal density;Porites lutea;1,08;g cm-3;mean;Pandora Reef;X-radiography (densitometer);;
Skeletal density;Porites lutea;1,64;g cm-3;mean;Pandora Reef;X-radiography (densitometer);;
Skeletal density;Porites mayeri;1,21;g cm-3;mean;Pandora Reef;X-radiography (densitometer);;
Skeletal density;Porites mayeri;1,13;g cm-3;mean;Pandora Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,37;g cm-3;mean;Rib Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,51;g cm-3;mean;Rib Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,16;g cm-3;mean;Rib Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,39;g cm-3;mean;Rib Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,48;g cm-3;mean;Rib Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,3;g cm-3;mean;Rib Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,42;g cm-3;mean;Rib Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,62;g cm-3;mean;Rib Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,39;g cm-3;mean;Rib Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,57;g cm-3;mean;Myrmidon Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,48;g cm-3;mean;Myrmidon Reef;X-radiography (densitometer);;
Skeletal density;Porites lobata;1,36;g cm-3;mean;Myrmidon Reef;X-radiography (densitometer);;
Skeletal density;Porites lutea;1,49;g cm-3;mean;Myrmidon Reef;X-radiography (densitometer);;
Skeletal density;Porites lutea;1,44;g cm-3;mean;Myrmidon Reef;X-radiography (densitometer);;
