gr.por.trait_name;gr.por.specie_name;gr.por.value;gr.por.standard_unit;gr.por.value_type;gr.por.location_name;;gr.por.methodology_name;;;;
Growth rate;Porites astreoides;3,53;mm yr^-1;mean;Buck Island; St. Croix;Alizarin stain;;;;
Growth rate;Porites astreoides;3,36;mm yr^-1;mean;Buck Island; St. Croix;Alizarin stain;;MEAN;;
Growth rate;Porites astreoides;3,36;mm yr^-1;mean;Buck Island; St. Croix;Alizarin stain;;9,62;;
Growth rate;Porites astreoides;3;mm yr^-1;mean;Buck Island; St. Croix;Alizarin stain;;;;
Growth rate;Porites astreoides;4,622;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;4,85;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;4,912;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;6,487;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;2,528;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;2,197;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;3,047;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;3,565;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;4,539;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;4,021;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;3,876;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;2,28;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;2,425;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;2,528;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;2,694;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;3,067;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;2,321;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;2,425;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;1,907;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;2,591;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;2,383;mm yr^-1;mean;Discovery Bay; Jamaica;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;4,4;mm yr^-1;mean;Rio Bueno; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;4,5;mm yr^-1;mean;Rio Bueno; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;4,1;mm yr^-1;mean;Rio Bueno; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;3,5;mm yr^-1;mean;M1; Discovery Bay; Jamaica;Image analysis;;;
Growth rate;Porites astreoides;3,4;mm yr^-1;mean;M1; Discovery Bay; Jamaica;Image analysis;;;
Growth rate;Porites astreoides;3,2;mm yr^-1;mean;M1; Discovery Bay; Jamaica;Image analysis;;;
Growth rate;Porites astreoides;3,8;mm yr^-1;mean;Dancing Ladies; Discovery Bay; Jamaica;Image analysis;;;
Growth rate;Porites astreoides;3,6;mm yr^-1;mean;Dancing Ladies; Discovery Bay; Jamaica;Image analysis;;;
Growth rate;Porites astreoides;3,3;mm yr^-1;mean;Dancing Ladies; Discovery Bay; Jamaica;Image analysis;;;
Growth rate;Porites astreoides;5,4;mm yr^-1;mean;Dairy Bull; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;5,6;mm yr^-1;mean;Dairy Bull; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;5,1;mm yr^-1;mean;Dairy Bull; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;3,8;mm yr^-1;mean;Pear Tree Bottom; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;4;mm yr^-1;mean;Pear Tree Bottom; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;3,4;mm yr^-1;mean;Pear Tree Bottom; Jamaica;Image analysis;;;;
Growth rate;Porites porites;35,75;mm yr^-1;mean;Barbados;Callipers;;;;;
Growth rate;Porites porites;21,83;mm yr^-1;mean;Jamaica;Callipers;;;;;
Growth rate;Porites lobata;6,65;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;6,91;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;6,88;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;6,38;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;8,24;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;4,82;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;7,33;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;7,93;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;9,36;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;8,14;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;8,14;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites columnaris;6,2;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites columnaris;4,72;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites columnaris;4,83;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites columnaris;5,82;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites columnaris;4,14;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites columnaris;6,75;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites columnaris;6,44;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites columnaris;5,26;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites columnaris;5,5;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites columnaris;6,19;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lutea;7,6;mm yr^-1;mean;Enewetak Atoll; Marshall Islands;Image analysis;;;;
Growth rate;Porites australiensis;9,5;mm yr^-1;mean;Ishigaki Island;Image analysis;;;;;
Growth rate;Porites lichen;16,3;mm yr^-1;mean;Galu Falhu; Maldives;Measured with callipers;;;;
Growth rate;Porites lobata;12,1;mm yr^-1;mean;Galu Falhu; Maldives;Measured with callipers;;;;
Growth rate;Porites nigrescens;17,8;mm yr^-1;mean;Galu Falhu; Maldives;Measured with callipers;;;;
Growth rate;Porites astreoides;5,78;mm yr^-1;mean;Dairy Bull; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;3,52;mm yr^-1;mean;M1; Discovery Bay; Jamaica;Image analysis;;;
Growth rate;Porites astreoides;4;mm yr^-1;mean;Rio Bueno; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;4,2;mm yr^-1;mean;Dairy Bull; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;4,8;mm yr^-1;mean;Dairy Bull; Jamaica;Image analysis;;;;
Growth rate;Porites astreoides;4,33;mm yr^-1;mean;Dairy Bull; Jamaica;Image analysis;;;;
Growth rate;Porites lutea;3,98;mm yr^-1;mean;Sampela; Wakatobi; Tukang Besi;Callipers;;;
Growth rate;Porites lutea;10,04;mm yr^-1;mean;Hoga; Wakatobi MNP; Tukand Besi ;Callipers;;;
Growth rate;Porites lutea;15,26;mm yr^-1;mean;Kaledupa; Wakatobi MNP; Tukand Besi ;Callipers;;;
Growth rate;Porites compressa;5,9;mm yr^-1;mean;Big Island; Hawaii;X-radiography (densitometer);;;;
Growth rate;Porites compressa;8,8;mm yr^-1;mean;Big Island; Hawaii;X-radiography (densitometer);;;;
Growth rate;Porites lobata;16,1;mm yr^-1;mean;Tanjung Setan; Ambon; Banda Sea;X-radiography (densitometer);;;
Growth rate;Porites lobata;15,4;mm yr^-1;mean;Hila; Ambon; Banda Sea;X-radiography (densitometer);;;
Growth rate;Porites lobata;13,5;mm yr^-1;mean;Wayame; Ambon; Banda Sea;X-radiography (densitometer);;;
Growth rate;Porites lobata;16;mm yr^-1;mean;Wailiha; Ambon; Banda Sea;X-radiography (densitometer);;;
Growth rate;Porites lobata;13,7;mm yr^-1;mean;Kapoposan; South Sulawesi; Flores Sea;X-radiography (densitometer);;;
Growth rate;Porites lobata;16,2;mm yr^-1;mean;Barang Lompo; South Sulawesi; Flores Sea;X-radiography (densitometer);;;
Growth rate;Porites lobata;14;mm yr^-1;mean;Samalona; South Sulawesi; Flores Sea;X-radiography (densitometer);;;
Growth rate;Porites lobata;14;mm yr^-1;mean;Kayangan; South Sulawesi; Flores Sea;X-radiography (densitometer);;;
Growth rate;Porites lobata;16,3;mm yr^-1;mean;Pulau Kecil; Karimunjawa Islands; Java;X-radiography (densitometer);;;
Growth rate;Porites lobata;16;mm yr^-1;mean;Gosong Cemara; Karimunjawa Islands; Java;X-radiography (densitometer);;;
Growth rate;Porites lobata;11,7;mm yr^-1;mean;Lagun Marican; Karimunjawa Islands; Java;X-radiography (densitometer);;;
Growth rate;Porites lobata;13,5;mm yr^-1;mean;Pulau Panjang; Karimunjawa Islands; Java;X-radiography (densitometer);;;
Growth rate;Porites lobata;13,8;mm yr^-1;mean;Bondo; Karimunjawa Islands; Java;X-radiography (densitometer);;;
Growth rate;Porites astreoides;3,53;mm yr^-1;mean;Gulf of Guanahacabibes;X-radiography (densitometer);;;;;
Growth rate;Porites astreoides;4,33;mm yr^-1;mean;Mahahual; Mexico;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;3,58;mm yr^-1;mean;Isla Pajaros; Veracruz; Mexican Caribbean;X-radiography (densitometer);;;
Growth rate;Porites astreoides;4,81;mm yr^-1;mean;Isla Verde; Veracruz; Mexican Caribbean;X-radiography (densitometer);;;
Growth rate;Porites astreoides;2,95;mm yr^-1;mean;Isla Sacrificios; Veracruz; Mexican Caribbean;X-radiography (densitometer);;;
Growth rate;Porites astreoides;3,63;mm yr^-1;mean; Isla Enmedio; Veracruz; Mexican Caribbean;X-radiography (densitometer);;;
Growth rate;Porites astreoides;3,83;mm yr^-1;mean;Hornos reef; Veracruz; Gulf of Mexico;X-radiography (densitometer);;;
Growth rate;Porites astreoides;4,09;mm yr^-1;mean;Isla Gallega; Veracruz; Gulf of Mexico;X-radiography (densitometer);;;
Growth rate;Porites astreoides;2,79;mm yr^-1;mean;Isla Chopas; Veracruz; Gulf of Mexico;X-radiography (densitometer);;;
Growth rate;Porites astreoides;4,41;mm yr^-1;mean;Isla Cabezo; Veracruz; Gulf of Mexico;X-radiography (densitometer);;;
Growth rate;Porites astreoides;3,16;mm yr^-1;mean;Isla Anegada de Fuera; Veracruz; Gulf of Mexico;X-radiography (densitometer);;;
Growth rate;Porites astreoides;2,94;mm yr^-1;mean;Isla Anegada de Dentro; Veracruz; Gulf of Mexico;X-radiography (densitometer);;;
Growth rate;Porites lobata;15,3;mm yr^-1;mean;Caño Island; Costa Rica;Measured with callipers;;;;
Growth rate;Porites lobata;11,7;mm yr^-1;mean;Caño Island; Costa Rica;Alizarin stain;;;;
Growth rate;Porites lobata;10,5;mm yr^-1;mean;Caño Island; Costa Rica;Alizarin stain;;;;
Growth rate;Porites lobata;8,4;mm yr^-1;mean;Caño Island; Costa Rica;X-radiography (densitometer);;;;
