specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth (mm)
PMD1;Poriticae;PM;40,0346935;18,4447167;22;38;3,06
PMD1;Poriticae;PM;40,0346935;18,4447167;22;38;3,4
PMD1;Poriticae;PM;40,0346935;18,4447167;22;38;2,91
PMD1;Poriticae;PM;40,0346935;18,4447167;22;38;2,53
PMD1;Poriticae;PM;40,0346935;18,4447167;22;38;4,05
PMD1;Poriticae;PM;40,0346935;18,4447167;22;38;4,37
PMD1;Poriticae;PM;40,0346935;18,4447167;22;38;5,02
PMD1;Poriticae;PM;40,0346935;18,4447167;22;38;5,47
PMD2a;Poriticae;PM;40,0347915;18,4452261;NA;NA;3,25
PMD2a;Poriticae;PM;40,0347915;18,4452261;NA;NA;2,41
PMD2a;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,78
PMD2a;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,51
PMD2a;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,4
PMD2a;Poriticae;PM;40,0347915;18,4452261;NA;NA;0,78
PMD2a;Poriticae;PM;40,0347915;18,4452261;NA;NA;0,51
PMD2a;Poriticae;PM;40,0347915;18,4452261;NA;NA;0,84
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;2,22
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,66
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,32
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;0,91
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,77
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,56
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;3,19
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,43
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,46
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,35
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,82
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,46
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,35
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,82
PMD2b;Poriticae;PM;40,0347915;18,4452261;NA;NA;1,98
PMD3;Poriticae;PM;40,0347725;18,4453386;7,5;13;0,8
PMD3;Poriticae;PM;40,0347725;18,4453386;7,5;13;1,15
PMD3;Poriticae;PM;40,0347725;18,4453386;7,5;13;1,64
PMD3;Poriticae;PM;40,0347725;18,4453386;7,5;13;1,2
PMD3;Poriticae;PM;40,0347725;18,4453386;7,5;13;1,46
PMD3;Poriticae;PM;40,0347725;18,4453386;7,5;13;1,02
PMD3;Poriticae;PM;40,0347725;18,4453386;7,5;13;1,67
PMD3;Poriticae;PM;40,0347725;18,4453386;7,5;13;1,09
PMD3;Poriticae;PM;40,0347725;18,4453386;7,5;13;1,12
PMD4a;Porites;PM;40,0347339;18,4454538;NA;NA;2,45
PMD4a;Porites;PM;40,0347339;18,4454538;NA;NA;2,95
PMD4a;Porites;PM;40,0347339;18,4454538;NA;NA;1,82
PMD4a;Porites;PM;40,0347339;18,4454538;NA;NA;2,47
PMD4a;Porites;PM;40,0347339;18,4454538;NA;NA;2,44
PMD4a;Porites;PM;40,0347339;18,4454538;NA;NA;2,91
PMD4a;Porites;PM;40,0347339;18,4454538;NA;NA;1,66
PMD4a;Porites;PM;40,0347339;18,4454538;NA;NA;1,36
PMD4a;Porites;PM;40,0347339;18,4454538;NA;NA;1,06
PMD4a;Porites;PM;40,0347339;18,4454538;NA;NA;1,24
PMD4b;Porites;PM;40,0347339;18,4454538;NA;NA;2,22
PMD4b;Porites;PM;40,0347339;18,4454538;NA;NA;1,79
PMD4b;Porites;PM;40,0347339;18,4454538;NA;NA;2,17
PMD4b;Porites;PM;40,0347339;18,4454538;NA;NA;3,02
PMD5;Poriticae;PM;40,0353522;18,4445324;9;23;3,07
PMD5;Poriticae;PM;40,0353522;18,4445324;9;23;2,25
PMD5;Poriticae;PM;40,0353522;18,4445324;9;23;2,32
PMD5;Poriticae;PM;40,0353522;18,4445324;9;23;3,15
PMD5;Poriticae;PM;40,0353522;18,4445324;9;23;2,55
