reef section;specimen_id;genus;mean growth
back reef;VD1;Poritid;3,629487179
back reef;VD2;Poritid;3,42452381
back reef;VD3;Poritid;4,55
back reef;VD4;Porites or Goniopora;2,28972973
back reef;VD5;Pavona?;3,547647059
back reef;VD6;Actinacis;1,940555556
back reef;VD7;Actinacis;2,836086957
back reef;VD8;Pavona?;1,045
back reef;VD9;Tarbellastraea;2,287272727
back reef;VD10;Poritid;3,6952
back reef;VD11;Tarbellastraea;3,309736842
back reef;VD12;Poritid;3,5912
reef flat;LSD1;Poritid;1,417692308
reef flat;LSD2;Poritid;1,185384615
reef flat;LSD3;Poritid;2,38875
reef front;SC1;Actinacis;5,472876712
reef front;SC2;Poritid;3,000952381
reef front;SC3;Poritid;3,4325
reef front;SC4;Poritid;2,739090909
reef front;SC5;Poritid;5,605066667
reef front;SC6;Poritid;4,7788
reef front;SC7;Actinacis;2,68
reef front;SC8;Poritid;3,5753125
reef front;SC9;Actinacis;2,018125
reef front;SC10;Poritid;2,446206897
reef front;SC11;Poritid;5,275625
reef front;SC12;Poritid;3,183913043
reef front;SC13;Astreopora;2,704166667
reef front;SC14;Actinacis;2,855588235
reef front;SC15;Poritid;1,9234
reef front;SC16;Poritid;3,982142857
proximal slope;PMD1;Poritid;3,85125
proximal slope;PMD2;Poritid;2,165609756
proximal slope;PMD3;Poritid;1,238888889
proximal slope;PMD4;Poritid;2,111428571
proximal slope;PMD5;Poritid;2,406153846
proximal slope;PMD6;Poritid;2,372
proximal slope;PMD7;Poritid;1,398333333
proximal slope;PMD8;Poritid;2,306
