specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth (ImageJ);scale (equals 1 mm);growth (mm);comments;;;
CDG1a;Porites;CGb;39,8471422;18,3849653;18;19;35,00;15,50;2,26;from photo with ImageJ;;;
CDG1a;Porites;CGb;39,8471422;18,3849653;18;19;37,07;15,50;2,39;;;;
CDG1a;Porites;CGb;39,8471422;18,3849653;18;19;37,74;15,50;2,43;;;;
CDG1a;Porites;CGb;39,8471422;18,3849653;18;19;20,31;15,50;1,31;;;;
CDG1a;Porites;CGb;39,8471422;18,3849653;18;19;18,14;15,50;1,17;;;;
CDG1a;Porites;CGb;39,8471422;18,3849653;18;19;19,69;15,50;1,27;;;;
CDG1a;Porites;CGb;39,8471422;18,3849653;18;19;41,65;15,50;2,69;;;;
CDG1a;Porites;CGb;39,8471422;18,3849653;18;19;27,46;15,50;1,77;;;;
CDG1a;Porites;CGb;39,8471422;18,3849653;18;19;27,74;15,50;1,79;;;;
CDG1a;Porites;CGb;39,8471422;18,3849653;18;19;30,23;15,50;1,95;;;;
CDG1b;Porites;CGb;39,8471422;18,3849653;18;19;15,57;15,50;1,004670968;from photo with ImageJ;;;
CDG1b;Porites;CGb;39,8471422;18,3849653;18;19;14,53;15,50;0,94;;;;
CDG1b;Porites;CGb;39,8471422;18,3849653;18;19;1,57;15,50;0,10;;;;
CDG1b;Porites;CGb;39,8471422;18,3849653;18;19;16,19;15,50;1,04;;;;
CDG1b;Porites;CGb;39,8471422;18,3849653;18;19;15,30;15,50;0,99;;;;
CDG1b;Porites;CGb;39,8471422;18,3849653;18;19;14,04;15,50;0,91;;;;mean growth
CDG1b;Porites;CGb;39,8471422;18,3849653;18;19;16,57;15,50;1,07;;;CDG1;1,25
CDG1b;Porites;CGb;39,8471422;18,3849653;18;19;14,04;15,50;0,91;;;CDG2;2,44
CDG1b;Porites;CGb;39,8471422;18,3849653;18;19;15,57;15,50;1,00;;;CDG3;2,66
CDG1b;Porites;CGb;39,8471422;18,3849653;18;19;14,64;15,50;0,94;;;CDG4;2,60
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;15,56;15,50;1,004090323;from photo with ImageJ;;CDG5;1,62
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;15,51;15,50;1,00;;;CDG6;1,61
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;15,06;15,50;0,97;;;CDG7;2,09
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;15,84;15,50;1,02;;;CDG8;
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;16,28;15,50;1,05;;;CDG9;1,26
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;15,13;15,50;0,98;;;CDG10;1,30
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;15,56;15,50;1,00;;;CDG11;
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;15,13;15,50;0,98;;;CDG12;2,13
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;16,79;15,50;1,08;;;;
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;15,46;15,50;1,00;;;;
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;14,97;15,50;0,97;;;;
CDG1c;Porites;CGb;39,8471422;18,3849653;18;19;16,88;15,50;1,09;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;18,87;11,09;1,70135257;from photo with ImageJ;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;28,30;11,09;2,55;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;31,91;11,09;2,88;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;30,02;11,09;2,71;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;23,85;11,09;2,15;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;18,79;11,09;1,69;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;18,68;11,09;1,68;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;30,02;11,09;2,71;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;29,07;11,09;2,62;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;26,42;11,09;2,38;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;29,15;11,09;2,63;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;18,36;11,09;1,66;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;42,15;11,09;3,80;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;27,31;11,09;2,46;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;16,55;11,09;1,49;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;24,60;11,09;2,22;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;35,51;11,09;3,20;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;30,46;11,09;2,75;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;30,87;11,09;2,78;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;28,64;11,09;2,58;;;;
CDG2;Porites;CGb;39,8471592;18,3850039;;;28,65;11,09;2,58;;;;
CDG3a;Porites;CGb;39,8471815;18,38518;;;55,45;15,75;3,519804273;from photo with ImageJ;;;
