genus;mean.growth
Oligocene Poritid;3,629487179
Oligocene Poritid;3,42452381
Oligocene Poritid;4,55
Oligocene Poritid;3,6952
Oligocene Poritid;3,5912
Oligocene Poritid;1,417692308
Oligocene Poritid;1,185384615
Oligocene Poritid;2,38875
Oligocene Poritid;3,000952381
Oligocene Poritid;3,4325
Oligocene Poritid;2,739090909
Oligocene Poritid;5,605066667
Oligocene Poritid;4,7788
Oligocene Poritid;3,5753125
Oligocene Poritid;2,446206897
Oligocene Poritid;5,275625
Oligocene Poritid;3,183913043
Oligocene Poritid;1,9234
Oligocene Poritid;3,982142857
Oligocene Poritid;3,85125
Oligocene Poritid;2,165609756
Oligocene Poritid;1,238888889
Oligocene Poritid;2,111428571
Oligocene Poritid;2,406153846
Oligocene Poritid;2,372
Oligocene Poritid;1,398333333
Oligocene Poritid;2,306
Miocene Porites;1,312
Miocene Porites;0,978571429
Miocene Porites;1,5804
Miocene Porites;1,327142857
Miocene Porites;1,5025
Miocene Porites;1,474285714
Miocene Porites;1,252446633
Miocene Porites;2,439710164
Miocene Porites;2,661275
Miocene Porites;2,595078811
Miocene Porites;1,615714427
Miocene Porites;1,612408904
Miocene Porites;2,091789177
Miocene Porites;1,263686503
Miocene Porites;1,301693249
Miocene Porites;2,125
Miocene Porites;1,393529412
Miocene Porites;2,48
Miocene Porites;1,446315789
Miocene Porites;1,609333333
Miocene Porites;2,006666667
