reef section;specimen_id;genus;mean growth;
Oligocene back reef;VD1;Poritid;3,629487179;
Oligocene back reef;VD2;Poritid;3,42452381;
Oligocene back reef;VD3;Poritid;4,55;
Oligocene back reef;VD4;Porites or Goniopora;2,28972973;
Oligocene back reef;VD5;Pavona?;3,547647059;
Oligocene back reef;VD6;Actinacis;1,940555556;
Oligocene back reef;VD7;Actinacis;2,836086957;
Oligocene back reef;VD8;Pavona?;1,045;
Oligocene back reef;VD9;Tabelastrea;2,287272727;
Oligocene back reef;VD10;Poritid;3,6952;
Oligocene back reef;VD11;Tabelastrea;3,309736842;
Oligocene back reef;VD12;Poritid;3,5912;
Oligocene back reef;LSD1;Poritid;1,417692308;
Oligocene back reef;LSD2;Poritid;1,185384615;
Oligocene back reef;LSD3;Poritid;2,38875;
Oligocene reef front;SC1;Actinacis;5,472876712;
Oligocene reef front;SC2;Poritid;3,000952381;
Oligocene reef front;SC3;Poritid;3,4325;
Oligocene reef front;SC4;Poritid;2,739090909;
Oligocene reef front;SC5;Poritid;5,605066667;
Oligocene reef front;SC6;Poritid;4,7788;
Oligocene reef front;SC7;Actinacis;2,68;
Oligocene reef front;SC8;Poritid;3,5753125;
Oligocene reef front;SC9;Actinacis;2,018125;
Oligocene reef front;SC10;Poritid;2,446206897;
Oligocene reef front;SC11;Poritid;5,275625;
Oligocene reef front;SC12;Poritid;3,183913043;
Oligocene reef front;SC13;Astreopora;2,704166667;
Oligocene reef front;SC14;Actinacis;2,855588235;
Oligocene reef front;SC15;Poritid;1,9234;
Oligocene reef front;SC16;Poritid;3,982142857;
Oligocene slope;PMD1;Poritid;3,85125;
Oligocene slope;PMD2;Poritid;2,165609756;
Oligocene slope;PMD3;Poritid;1,238888889;
Oligocene slope;PMD4;Poritid;2,111428571;
Oligocene slope;PMD5;Poritid;2,406153846;
Oligocene slope;PMD6;Poritid;2,372;
Oligocene slope;PMD7;Poritid;1,398333333;
Oligocene slope;PMD8;Poritid;2,306;
Miocene back reef;TD1;Porites;1,312;
Miocene back reef;TD2;Porites;0,978571429;
Miocene back reef;TD4;Porites;1,5804;
Miocene back reef;TD5;Porites;1,327142857;
Miocene back reef;TD6;Porites;1,5025;
Miocene back reef;TD7;Porites;1,474285714;
Miocene reef front;CDG1;Porites;1,252446633;
Miocene reef front;CDG2;Porites;2,439710164;
Miocene reef front;CDG3;Porites;2,661275;
Miocene reef front;CDG4;Porites;2,595078811;
Miocene reef front;CDG5;Porites;1,615714427;
Miocene reef front;CDG6;Porites;1,612408904;
Miocene reef front;CDG7;Porites;2,091789177;
Miocene reef front;CDG9;Porites;1,263686503;
Miocene reef front;CDG10;Porites;1,301693249;
Miocene reef front;CDG12;Porites;2,125;
Miocene slope;LCD1;Porites;1,393529412;massive 
Miocene slope;LCD2;Porites;2,48;columnar, horizontal extension measured
Miocene slope;LCD3;Porites;1,446315789;columnar, horizontal extension measured
Miocene slope;LCD4;Porites;1,609333333;
Miocene slope;LCD5;Porites;2,006666667;columnar, horizontal extension measured
