specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth (mm)
VD1;Porites;V;40,040278;18,416667;49;100;3,47
VD1;Porites;V;40,040278;18,416667;49;100;5,42
VD1;Porites;V;40,040278;18,416667;49;100;4,26
VD1;Porites;V;40,040278;18,416667;49;100;3,73
VD1;Porites;V;40,040278;18,416667;49;100;4,26
VD1;Porites;V;40,040278;18,416667;49;100;4,39
VD1;Porites;V;40,040278;18,416667;49;100;2,89
VD1;Porites;V;40,040278;18,416667;49;100;3,9
VD1;Porites;V;40,040278;18,416667;49;100;3,62
VD1;Porites;V;40,040278;18,416667;49;100;4,2
VD1;Porites;V;40,040278;18,416667;49;100;3,13
VD1;Porites;V;40,040278;18,416667;49;100;3,33
VD1;Porites;V;40,040278;18,416667;49;100;4,07
VD1;Porites;V;40,040278;18,416667;49;100;4,42
VD1;Porites;V;40,040278;18,416667;49;100;5,03
VD1;Porites;V;40,040278;18,416667;49;100;3,28
VD1;Porites;V;40,040278;18,416667;49;100;2,67
VD1;Porites;V;40,040278;18,416667;49;100;2,59
VD1;Porites;V;40,040278;18,416667;49;100;3,96
VD1;Porites;V;40,040278;18,416667;49;100;3,95
VD1;Porites;V;40,040278;18,416667;49;100;2,93
VD1;Porites;V;40,040278;18,416667;49;100;3,24
VD1;Porites;V;40,040278;18,416667;49;100;2,32
VD1;Porites;V;40,040278;18,416667;49;100;2,94
VD1;Porites;V;40,040278;18,416667;49;100;2,58
VD1;Porites;V;40,040278;18,416667;49;100;3,89
VD1;Porites;V;40,040278;18,416667;49;100;3,67
VD1;Porites;V;40,040278;18,416667;49;100;4,76
VD1;Porites;V;40,040278;18,416667;49;100;4,42
VD1;Porites;V;40,040278;18,416667;49;100;3,99
VD1;Porites;V;40,040278;18,416667;49;100;2,93
VD1;Porites;V;40,040278;18,416667;49;100;2,86
VD1;Porites;V;40,040278;18,416667;49;100;4,42
VD1;Porites;V;40,040278;18,416667;49;100;2,57
VD1;Porites;V;40,040278;18,416667;49;100;3,53
VD1;Porites;V;40,040278;18,416667;49;100;2,98
VD1;Porites;V;40,040278;18,416667;49;100;2,64
VD1;Porites;V;40,040278;18,416667;49;100;3,82
VD1;Porites;V;40,040278;18,416667;49;100;4,49
VD2a;Porites;V;40,040278;18,411111;64;51;5,8
VD2a;Porites;V;40,040278;18,411111;64;51;3,64
VD2a;Porites;V;40,040278;18,411111;64;51;4,72
VD2a;Porites;V;40,040278;18,411111;64;51;4,35
VD2a;Porites;V;40,040278;18,411111;64;51;4,9
VD2a;Porites;V;40,040278;18,411111;64;51;2,91
VD2a;Porites;V;40,040278;18,411111;64;51;2,07
VD2a;Porites;V;40,040278;18,411111;64;51;3,33
VD2a;Porites;V;40,040278;18,411111;64;51;1,66
VD2a;Porites;V;40,040278;18,411111;64;51;1,34
VD2a;Porites;V;40,040278;18,411111;64;51;3,49
VD2a;Porites;V;40,040278;18,411111;64;51;3,27
VD2a;Porites;V;40,040278;18,411111;64;51;4,49
VD2a;Porites;V;40,040278;18,411111;64;51;4,41
VD2a;Porites;V;40,040278;18,411111;64;51;4,34
VD2a;Porites;V;40,040278;18,411111;64;51;4,15
VD2a;Porites;V;40,040278;18,411111;64;51;3,78
