time;;specimen_id;genus;growth (mm)
Oligocene;Oligocene reef front;SC1;Actinacis;6,64
Oligocene;Oligocene reef front;SC1;Actinacis;0,25
Oligocene;Oligocene reef front;SC1;Actinacis;7,05
Oligocene;Oligocene reef front;SC1;Actinacis;7,67
Oligocene;Oligocene reef front;SC1;Actinacis;5,71
Oligocene;Oligocene reef front;SC1;Actinacis;6,07
Oligocene;Oligocene reef front;SC1;Actinacis;8,02
Oligocene;Oligocene reef front;SC1;Actinacis;4,89
Oligocene;Oligocene reef front;SC1;Actinacis;9,82
Oligocene;Oligocene reef front;SC1;Actinacis;9,3
Oligocene;Oligocene reef front;SC1;Actinacis;11,05
Oligocene;Oligocene reef front;SC1;Actinacis;7,6
Oligocene;Oligocene reef front;SC1;Actinacis;6,82
Oligocene;Oligocene reef front;SC1;Actinacis;6,88
Oligocene;Oligocene reef front;SC1;Actinacis;8,55
Oligocene;Oligocene reef front;SC1;Actinacis;5,88
Oligocene;Oligocene reef front;SC1;Actinacis;5,86
Oligocene;Oligocene reef front;SC1;Actinacis;5,53
Oligocene;Oligocene reef front;SC1;Actinacis;5,7
Oligocene;Oligocene reef front;SC1;Actinacis;4,59
Oligocene;Oligocene reef front;SC1;Actinacis;2,52
Oligocene;Oligocene reef front;SC1;Actinacis;2,5
Oligocene;Oligocene reef front;SC1;Actinacis;2,29
Oligocene;Oligocene reef front;SC1;Actinacis;2,28
Oligocene;Oligocene reef front;SC1;Actinacis;2,44
Oligocene;Oligocene reef front;SC1;Actinacis;2,45
Oligocene;Oligocene reef front;SC1;Actinacis;3,36
Oligocene;Oligocene reef front;SC1;Actinacis;4,78
Oligocene;Oligocene reef front;SC1;Actinacis;4,04
Oligocene;Oligocene reef front;SC1;Actinacis;5,35
Oligocene;Oligocene reef front;SC1;Actinacis;5,39
Oligocene;Oligocene reef front;SC1;Actinacis;4,23
Oligocene;Oligocene reef front;SC1;Actinacis;5,4
Oligocene;Oligocene reef front;SC1;Actinacis;6,29
Oligocene;Oligocene reef front;SC1;Actinacis;5,58
Oligocene;Oligocene reef front;SC1;Actinacis;6,66
Oligocene;Oligocene reef front;SC1;Actinacis;3,11
Oligocene;Oligocene reef front;SC1;Actinacis;3,98
