time;reef section;specimen_id;genus;mean growth
Oligocene;back reef;VD1;Porites;3,63
Oligocene;back reef;VD2;Porites;3,42
Oligocene;back reef;VD3;Porites;4,55
Oligocene;back reef;VD4;Porites;2,29
Oligocene;back reef;VD5;Pavona;3,55
Oligocene;back reef;VD6;Actinacis;1,94
Oligocene;back reef;VD7;Actinacis;2,84
Oligocene;back reef;VD8;Pavona;1,05
Oligocene;back reef;VD9;Tarbellastraea;2,29
Oligocene;back reef;VD10;Porites;3,7
Oligocene;back reef;VD11;Tarbellastraea;3,31
Oligocene;back reef;VD12;Porites;3,59
Oligocene;reef flat;LSD1;Poritid;1,42
Oligocene;reef flat;LSD2;Poritid;1,19
Oligocene;reef flat;LSD3;Poritid;2,39
Oligocene;reef front;SC1;Actinacis;5,47
Oligocene;reef front;SC2;Poritid;3
Oligocene;reef front;SC3;Poritid;3,43
Oligocene;reef front;SC4;Porites;2,74
Oligocene;reef front;SC5;Porites;5,61
Oligocene;reef front;SC6;Porites;4,78
Oligocene;reef front;SC7;Actinacis;2,68
Oligocene;reef front;SC8;Porites;3,58
Oligocene;reef front;SC9;Actinacis;2,02
Oligocene;reef front;SC10;Poritid;2,45
Oligocene;reef front;SC11;Poritid;5,28
Oligocene;reef front;SC12;Poritid;3,18
Oligocene;reef front;SC13;Astreopora;2,7
Oligocene;reef front;SC14;Actinacis;2,86
Oligocene;reef front;SC15;Poritid;1,92
Oligocene;reef front;SC16;Poritid;3,98
Oligocene;proximal slope;PMD1;Poritid;3,85
Oligocene;proximal slope;PMD2;Poritid;2,17
Oligocene;proximal slope;PMD3;Poritid;1,24
Oligocene;proximal slope;PMD4;Porites;2,11
Oligocene;proximal slope;PMD5;Poritid;2,41
Oligocene;proximal slope;PMD6;Poritid;2,37
Oligocene;proximal slope;PMD7;Poritid;1,4
Oligocene;proximal slope;PMD8;Poritid;2,31
Miocene;back reef;TD1;Porites;1,31
Miocene;back reef;TD2;Porites;0,98
Miocene;back reef;TD4;Porites;1,58
Miocene;back reef;TD5;Porites;1,33
Miocene;back reef;TD6;Porites;1,5
Miocene;back reef;TD7;Porites;1,47
Miocene;reef front;CDG1;Porites;1,25
Miocene;reef front;CDG2;Porites;2,44
Miocene;reef front;CDG3;Porites;2,66
Miocene;reef front;CDG4;Porites;2,6
Miocene;reef front;CDG5;Porites;1,62
Miocene;reef front;CDG6;Porites;1,61
Miocene;reef front;CDG7;Porites;2,09
Miocene;reef front;CDG9;Porites;1,26
Miocene;reef front;CDG10;Porites;1,3
Miocene;reef front;CDG12;Porites;2,13
Miocene;proximal slope;LCD1;Porites;1,39
Miocene;proximal slope;LCD2;Porites;2,48
Miocene;proximal slope;LCD3;Porites;1,45
Miocene;proximal slope;LCD4;Porites;1,61
Miocene;proximal slope;LCD5;Porites;2,01
modern;;;Pavona cactus;28
modern;;;Pavona cactus;0,11
modern;;;Pavona cactus;0,12
modern;;;Pavona clavus;21,06
modern;;;Pavona clavus;14,74
modern;;;Pavona clavus;12,3
modern;;;Pavona clavus;7,8
modern;;;Pavona clavus;16,82
modern;;;Pavona clavus;19,16
modern;;;Pavona clavus;16,72
modern;;;Pavona clavus;10,66
modern;;;Pavona clavus;11,52
modern;;;Pavona clavus;4,86
modern;;;Pavona clavus;14,04
modern;;;Pavona clavus;15,52
modern;;;Pavona clavus;13,2
modern;;;Pavona clavus;9,3
modern;;;Pavona clavus;6,1
modern;;;Pavona clavus;9,9
modern;;;Pavona clavus;9,6
modern;;;Pavona clavus;7,6
modern;;;Pavona clavus;12,7
modern;;;Pavona clavus;20,6
modern;;;Pavona clavus;15,8
modern;;;Pavona clavus;23
modern;;;Pavona clavus;20,7
modern;;;Pavona clavus;16,3
modern;;;Pavona clavus;18,5
modern;;;Pavona clavus;18
modern;;;Pavona clavus;17,1
modern;;;Pavona clavus;20,5
modern;;;Pavona clavus;16,3
modern;;;Pavona clavus;12,1
modern;;;Pavona clavus;7,9
modern;;;Pavona duerdeni;8,6
modern;;;Pavona duerdeni;11,8
modern;;;Pavona gigantea;13,78
modern;;;Pavona gigantea;9,02
modern;;;Pavona gigantea;9,7
modern;;;Pavona gigantea;6,42
modern;;;Pavona gigantea;12,74
modern;;;Pavona gigantea;13,34
modern;;;Pavona gigantea;11,78
modern;;;Pavona gigantea;3,72
modern;;;Pavona gigantea;6,68
modern;;;Pavona gigantea;3,36
modern;;;Pavona gigantea;9,88
modern;;;Pavona gigantea;12,14
modern;;;Pavona gigantea;8,5
modern;;;Pavona gigantea;8,3
modern;;;Pavona gigantea;7
modern;;;Pavona gigantea;11,2
modern;;;Pavona gigantea;7,5
modern;;;Pavona maldivensis;11
modern;;;Pavona maldivensis;13,1
modern;;;Pavona varians;5
modern;;;Pavona varians;3,5
modern;;;Pavona varians;3
modern;;;Pavona varians;3,7
modern;;;Porites astreoides;3,53
modern;;;Porites astreoides;3,36
modern;;;Porites astreoides;3,36
modern;;;Porites astreoides;3
modern;;;Porites astreoides;4,62
modern;;;Porites astreoides;4,85
modern;;;Porites astreoides;4,91
modern;;;Porites astreoides;6,49
modern;;;Porites astreoides;2,53
modern;;;Porites astreoides;2,2
modern;;;Porites astreoides;3,05
modern;;;Porites astreoides;3,57
modern;;;Porites astreoides;4,54
modern;;;Porites astreoides;4,02
modern;;;Porites astreoides;3,88
modern;;;Porites astreoides;2,28
modern;;;Porites astreoides;2,43
modern;;;Porites astreoides;2,53
modern;;;Porites astreoides;2,69
modern;;;Porites astreoides;3,07
modern;;;Porites astreoides;2,32
modern;;;Porites astreoides;2,43
modern;;;Porites astreoides;1,91
modern;;;Porites astreoides;2,59
modern;;;Porites astreoides;2,38
modern;;;Porites astreoides;4,4
modern;;;Porites astreoides;4,5
modern;;;Porites astreoides;4,1
modern;;;Porites astreoides;3,5
modern;;;Porites astreoides;3,4
modern;;;Porites astreoides;3,2
modern;;;Porites astreoides;3,8
modern;;;Porites astreoides;3,6
modern;;;Porites astreoides;3,3
modern;;;Porites astreoides;5,4
modern;;;Porites astreoides;5,6
modern;;;Porites astreoides;5,1
modern;;;Porites astreoides;3,8
modern;;;Porites astreoides;4
modern;;;Porites astreoides;3,4
modern;;;Porites astreoides;5,78
modern;;;Porites astreoides;3,52
modern;;;Porites astreoides;4
modern;;;Porites astreoides;4,2
modern;;;Porites astreoides;4,8
modern;;;Porites astreoides;4,33
modern;;;Porites astreoides;3,53
modern;;;Porites astreoides;4,33
modern;;;Porites astreoides;3,58
modern;;;Porites astreoides;4,81
modern;;;Porites astreoides;2,95
modern;;;Porites astreoides;3,63
modern;;;Porites astreoides;3,83
modern;;;Porites astreoides;4,09
modern;;;Porites astreoides;2,79
modern;;;Porites astreoides;4,41
modern;;;Porites astreoides;3,16
modern;;;Porites astreoides;2,94
modern;;;Porites astreoides;1,9
modern;;;Porites astreoides;3,1
modern;;;Porites astreoides;2,5
modern;;;Porites astreoides;1,8
modern;;;Porites astreoides;3,4
modern;;;Porites astreoides;2,5
modern;;;Porites astreoides;2,1
modern;;;Porites astreoides;1,7
modern;;;Porites astreoides;1,7
modern;;;Porites astreoides;1,6
modern;;;Porites astreoides;1,4
modern;;;Porites astreoides;0,25
modern;;;Porites astreoides;0,1
modern;;;Porites astreoides;0,21
modern;;;Porites astreoides;0,17
modern;;;Porites astreoides;0,32
modern;;;Porites astreoides;0,4
modern;;;Porites astreoides;0,24
modern;;;Porites astreoides;0,1
modern;;;Porites astreoides;0,28
modern;;;Porites astreoides;0,38
modern;;;Porites astreoides;0,62
modern;;;Porites astreoides;0,37
modern;;;Porites astreoides;4,3
modern;;;Porites astreoides;3,5
modern;;;Porites astreoides;4,75
modern;;;Porites astreoides;6,5
modern;;;Porites astreoides;4,07
modern;;;Porites astreoides;4,25
modern;;;Porites astreoides;7,8
modern;;;Porites astreoides;8
modern;;;Porites astreoides;5,25
modern;;;Porites astreoides;5,9
modern;;;Porites astreoides;8,75
modern;;;Porites australiensis;21,1
modern;;;Porites australiensis;13,4
modern;;;Porites australiensis;15,4
modern;;;Porites australiensis;19,5
modern;;;Porites australiensis;12,9
modern;;;Porites australiensis;6,7
modern;;;Porites australiensis;13,4
modern;;;Porites australiensis;4,9
modern;;;Porites australiensis;11,8
modern;;;Porites australiensis;12,9
modern;;;Porites australiensis;11,8
modern;;;Porites australiensis;8,7
modern;;;Porites australiensis;9,5
modern;;;Porites columnaris;6,2
modern;;;Porites columnaris;4,72
modern;;;Porites columnaris;4,83
modern;;;Porites columnaris;5,82
modern;;;Porites columnaris;4,14
modern;;;Porites columnaris;6,75
modern;;;Porites columnaris;6,44
modern;;;Porites columnaris;5,26
modern;;;Porites columnaris;5,5
modern;;;Porites columnaris;6,19
modern;;;Porites compressa;0,08
modern;;;Porites compressa;0,08
modern;;;Porites compressa;0,1
modern;;;Porites compressa;0,09
modern;;;Porites compressa;0,09
modern;;;Porites compressa;0,1
modern;;;Porites compressa;0,07
modern;;;Porites compressa;0,09
modern;;;Porites compressa;5,9
modern;;;Porites compressa;8,8
modern;;;Porites compressa;15,23
modern;;;Porites compressa;8,73
modern;;;Porites compressa;12,37
modern;;;Porites compressa;14,9
modern;;;Porites compressa;13,33
modern;;;Porites compressa;7,3
modern;;;Porites compressa;10,8
modern;;;Porites compressa;7,66
modern;;;Porites compressa;8,13
modern;;;Porites cylindrica;25
modern;;;Porites cylindrica;2,62
modern;;;Porites cylindrica;1,73
modern;;;Porites cylindrica;1,06
modern;;;Porites cylindrica;7,4
modern;;;Porites cylindrica;12,85
modern;;;Porites evermanni;11,6
modern;;;Porites furcata;53,3
modern;;;Porites furcata;15,9
modern;;;Porites heronensis;10,5
modern;;;Porites lichen;16,3
modern;;;Porites lobata;10
modern;;;Porites lobata;11,5
modern;;;Porites lobata;5,5
modern;;;Porites lobata;9,77
modern;;;Porites lobata;5,5
modern;;;Porites lobata;11,7
modern;;;Porites lobata;22,2
modern;;;Porites lobata;23,6
modern;;;Porites lobata;6,7
modern;;;Porites lobata;2,6
modern;;;Porites lobata;6,65
modern;;;Porites lobata;6,91
modern;;;Porites lobata;6,88
modern;;;Porites lobata;6,38
modern;;;Porites lobata;8,24
modern;;;Porites lobata;4,82
modern;;;Porites lobata;7,33
modern;;;Porites lobata;7,93
modern;;;Porites lobata;9,36
modern;;;Porites lobata;8,14
modern;;;Porites lobata;8,14
modern;;;Porites lobata;12,1
modern;;;Porites lobata;16,1
modern;;;Porites lobata;15,4
modern;;;Porites lobata;13,5
modern;;;Porites lobata;16
modern;;;Porites lobata;13,7
modern;;;Porites lobata;16,2
modern;;;Porites lobata;14
modern;;;Porites lobata;14
modern;;;Porites lobata;16,3
modern;;;Porites lobata;16
modern;;;Porites lobata;11,7
modern;;;Porites lobata;13,5
modern;;;Porites lobata;13,8
modern;;;Porites lobata;15,3
modern;;;Porites lobata;11,7
modern;;;Porites lobata;10,5
modern;;;Porites lobata;8,4
modern;;;Porites lobata;7,5
modern;;;Porites lobata;4,5
modern;;;Porites lobata;6,78
modern;;;Porites lobata;7,38
modern;;;Porites lobata;4,63
modern;;;Porites lobata;4,81
modern;;;Porites lobata;3,42
modern;;;Porites lobata;3,4
modern;;;Porites lobata;4,9
modern;;;Porites lobata;0,6
modern;;;Porites lobata;1
modern;;;Porites lobata;1,8
modern;;;Porites lobata;2,1
modern;;;Porites lobata;1,6
modern;;;Porites lobata;1,3
modern;;;Porites lobata;8
modern;;;Porites lobata;9
modern;;;Porites lobata;19
modern;;;Porites lobata;14,8
modern;;;Porites lobata;7,6
modern;;;Porites lobata;10,4
modern;;;Porites lobata;18,8
modern;;;Porites lobata;9,9
modern;;;Porites lobata;10,7
modern;;;Porites lobata;13,3
modern;;;Porites lobata;3
modern;;;Porites lobata;13
modern;;;Porites lobata;7,1
modern;;;Porites lobata;10,1
modern;;;Porites lobata;7,1
modern;;;Porites lobata;5,3
modern;;;Porites lobata;3,02
modern;;;Porites lobata;8,02
modern;;;Porites lobata;10,81
modern;;;Porites lobata;11,57
modern;;;Porites lobata;11,6
modern;;;Porites lobata;13,49
modern;;;Porites lobata;13
modern;;;Porites lutea;13,5
modern;;;Porites lutea;6,5
modern;;;Porites lutea;11
modern;;;Porites lutea;5
modern;;;Porites lutea;5
modern;;;Porites lutea;11,63
modern;;;Porites lutea;5,58
modern;;;Porites lutea;3,6
modern;;;Porites lutea;9,8
modern;;;Porites lutea;5,1
modern;;;Porites lutea;21,6
modern;;;Porites lutea;12,9
modern;;;Porites lutea;10,3
modern;;;Porites lutea;10,7
modern;;;Porites lutea;11,07
modern;;;Porites lutea;11,45
modern;;;Porites lutea;7,6
modern;;;Porites lutea;3,98
modern;;;Porites lutea;10,04
modern;;;Porites lutea;15,26
modern;;;Porites lutea;23,02
modern;;;Porites lutea;22,52
modern;;;Porites lutea;22,13
modern;;;Porites lutea;23,76
modern;;;Porites lutea;21,83
modern;;;Porites lutea;18,27
modern;;;Porites lutea;23,91
modern;;;Porites lutea;18,76
modern;;;Porites lutea;20,5
modern;;;Porites lutea;16,73
modern;;;Porites lutea;14,16
modern;;;Porites lutea;5,66
modern;;;Porites lutea;3
modern;;;Porites lutea;19,21
modern;;;Porites lutea;17,08
modern;;;Porites lutea;16,83
modern;;;Porites lutea;21,59
modern;;;Porites lutea;15,31
modern;;;Porites lutea;16,1
modern;;;Porites lutea;19,11
modern;;;Porites lutea;15,42
modern;;;Porites lutea;15,2
modern;;;Porites lutea;15
modern;;;Porites lutea;12
modern;;;Porites lutea;14
modern;;;Porites lutea;8,4
modern;;;Porites lutea;3
modern;;;Porites lutea;22,5
modern;;;Porites lutea;21,9
modern;;;Porites lutea;20,9
modern;;;Porites lutea;23,2
modern;;;Porites lutea;21,9
modern;;;Porites lutea;18
modern;;;Porites lutea;23,2
modern;;;Porites lutea;18,4
modern;;;Porites lutea;20,2
modern;;;Porites lutea;16,3
modern;;;Porites lutea;13,7
modern;;;Porites lutea;17,7
modern;;;Porites lutea;11,6
modern;;;Porites lutea;7,8
modern;;;Porites lutea;9,76
modern;;;Porites lutea;7
modern;;;Porites lutea;15,4
modern;;;Porites lutea;18,4
modern;;;Porites lutea;20
modern;;;Porites lutea;10,5
modern;;;Porites lutea;11,3
modern;;;Porites lutea;17,73
modern;;;Porites lutea;13
modern;;;Porites mayeri;13
modern;;;Porites nigrescens;17,8
modern;;;Porites nodifera;11,2
modern;;;Porites porites;5
modern;;;Porites porites;5
modern;;;Porites porites;20
modern;;;Porites porites;20
modern;;;Porites porites;35,75
modern;;;Porites porites;21,83
modern;;;Porites porites;13,3
modern;;;Porites porites;14,15
modern;;;Porites rus;2,1
modern;;;Porites rus;1,27
modern;;;Porites rus;0,44
modern;;;Porites solida;8,7
modern;;;Porites solida;15,4
modern;;;Porites solida;18
modern;;;Porites solida;18
modern;;;Porites solida;7,2
modern;;;Siderastrea radians;3,25
modern;;;Siderastrea siderea;10
modern;;;Siderastrea siderea;10
modern;;;Siderastrea siderea;20
modern;;;Siderastrea siderea;20
modern;;;Siderastrea siderea;20
modern;;;Siderastrea siderea;30
modern;;;Siderastrea siderea;7,7
modern;;;Siderastrea siderea;8
modern;;;Siderastrea siderea;7,5
modern;;;Siderastrea siderea;7,5
modern;;;Siderastrea siderea;7,7
modern;;;Siderastrea siderea;7,5
modern;;;Siderastrea siderea;7,3
modern;;;Siderastrea siderea;7
modern;;;Siderastrea siderea;7,1
modern;;;Siderastrea siderea;7,2
modern;;;Siderastrea siderea;7,1
modern;;;Siderastrea siderea;7,5
modern;;;Siderastrea siderea;7,6
modern;;;Siderastrea siderea;7,8
modern;;;Siderastrea siderea;7,5
modern;;;Siderastrea siderea;1,5
modern;;;Siderastrea siderea;2,6
modern;;;Siderastrea siderea;2,5
modern;;;Siderastrea siderea;2,3
modern;;;Siderastrea siderea;3,1
modern;;;Siderastrea siderea;5,4
modern;;;Siderastrea siderea;7,47
modern;;;Siderastrea siderea;4,7
modern;;;Siderastrea siderea;4,02
modern;;;Siderastrea siderea;4,1
modern;;;Siderastrea siderea;4,8
modern;;;Siderastrea siderea;1,9
modern;;;Stylophora danae;12
modern;;;Stylophora pistillata;33,5
modern;;;Stylophora pistillata;34,8
modern;;;Stylophora pistillata;30,99
modern;;;Stylophora pistillata;31,65
modern;;;Stylophora pistillata;24,31
modern;;;Stylophora pistillata;23,32
modern;;;Stylophora pistillata;18,87
modern;;;Stylophora pistillata;19,29
modern;;;Stylophora pistillata;23,82
modern;;;Stylophora pistillata;16,32
modern;;;Stylophora pistillata;20,69
modern;;;Stylophora pistillata;19,12
modern;;;Stylophora pistillata;15,08
modern;;;Stylophora pistillata;16,32
modern;;;Stylophora pistillata;19,2
modern;;;Stylophora pistillata;16,3
modern;;;Stylophora pistillata;5,8
modern;;;Stylophora pistillata;6,3
modern;;;Stylophora pistillata;7,3
modern;;;Stylophora pistillata;8,5
modern;;;Stylophora pistillata;6,51
modern;;;Stylophora pistillata;7,48
modern;;;Stylophora pistillata;9,24
modern;;;Stylophora pistillata;19,4
