ct.growthrate.species.name;ct.growthrate,trait,name;ct.growthrate.value;;;
Pavona cactus;Growth rate;28;;;
Pavona cactus;Growth rate;0,114;;;
Pavona cactus;Growth rate;0,121;;;
Pavona clavus;Growth rate;21,06;;;
Pavona clavus;Growth rate;14,74;;;
Pavona clavus;Growth rate;12,3;;;
Pavona clavus;Growth rate;7,8;;;
Pavona clavus;Growth rate;16,82;;;
Pavona clavus;Growth rate;19,16;;;
Pavona clavus;Growth rate;16,72;;;
Pavona clavus;Growth rate;10,66;;;
Pavona clavus;Growth rate;11,52;;;
Pavona clavus;Growth rate;4,86;;;
Pavona clavus;Growth rate;14,04;;;
Pavona clavus;Growth rate;15,52;;;
Pavona clavus;Growth rate;13,2;;;
Pavona clavus;Growth rate;9,3;;;
Pavona clavus;Growth rate;6,1;;;
Pavona clavus;Growth rate;9,9;;;
Pavona clavus;Growth rate;9,6;;;
Pavona clavus;Growth rate;7,6;;;
Pavona clavus;Growth rate;12,7;;;
Pavona clavus;Growth rate;20,6;;;
Pavona clavus;Growth rate;15,8;;;
Pavona clavus;Growth rate;23;;;
Pavona clavus;Growth rate;20,7;;;
Pavona clavus;Growth rate;16,3;;;
Pavona clavus;Growth rate;18,5;;;
Pavona clavus;Growth rate;18;;;
Pavona clavus;Growth rate;17,1;;;
Pavona clavus;Growth rate;20,5;;;
Pavona clavus;Growth rate;16,3;;;
Pavona clavus;Growth rate;12,1;;;
Pavona clavus;Growth rate;7,9;;;
Pavona duerdeni;Growth rate;8,6;;;
Pavona duerdeni;Growth rate;11,8;;;
Pavona gigantea;Growth rate;13,78;;;
Pavona gigantea;Growth rate;9,02;;;
Pavona gigantea;Growth rate;9,7;;;
Pavona gigantea;Growth rate;6,42;;;
Pavona gigantea;Growth rate;12,74;;;
Pavona gigantea;Growth rate;13,34;;;
Pavona gigantea;Growth rate;11,78;;;
Pavona gigantea;Growth rate;3,72;;;
Pavona gigantea;Growth rate;6,68;;;
Pavona gigantea;Growth rate;3,36;;;
Pavona gigantea;Growth rate;9,88;;;
Pavona gigantea;Growth rate;12,14;;;
Pavona gigantea;Growth rate;8,5;;;
Pavona gigantea;Growth rate;8,3;;;
Pavona gigantea;Growth rate;7;;;
