time;reef section;specimen_id;genus;mean growth;mean growth Porites;mean growth Actinacis
Oligocene;back reef;VD1;Porites;3,629487179;3,530023453;2,388321257
Oligocene;back reef;VD2;Porites;3,42452381;;
Oligocene;back reef;VD3;Porites;4,55;;
Oligocene;back reef;VD4;Porites;2,28972973;;
Oligocene;back reef;VD5;Pavona?;3,547647059;;
Oligocene;back reef;VD6;Actinacis;1,940555556;;
Oligocene;back reef;VD7;Actinacis;2,836086957;;
Oligocene;back reef;VD8;Pavona?;1,045;;
Oligocene;back reef;VD9;Tarbellastraea;2,287272727;;
Oligocene;back reef;VD10;Porites;3,6952;;
Oligocene;back reef;VD11;Tarbellastraea;3,309736842;;
Oligocene;back reef;VD12;Porites;3,5912;;
Oligocene;reef front;SC1;Actinacis;5,472876712;3,339654015;3,256647487
Oligocene;reef front;SC4;Porites;2,739090909;;
Oligocene;reef front;SC5;Porites;5,605066667;;
Oligocene;reef front;SC6;Porites;4,7788;;
Oligocene;reef front;SC7;Actinacis;2,68;;
Oligocene;reef front;SC8;Porites;3,5753125;;
Oligocene;reef front;SC9;Actinacis;2,018125;;
Oligocene;reef front;SC13;Astreopora;2,704166667;;
Oligocene;reef front;SC14;Actinacis;2,855588235;;
Oligocene;proximal slope;PMD4;Porites;2,111428571;;
Miocene;back reef;TD1;Porites;1,312;1,362483333;
Miocene;back reef;TD2;Porites;0,978571429;;
Miocene;back reef;TD4;Porites;1,5804;;
Miocene;back reef;TD5;Porites;1,327142857;;
Miocene;back reef;TD6;Porites;1,5025;;
Miocene;back reef;TD7;Porites;1,474285714;;
Miocene;reef front;CDG1;Porites;1,252446633;1,895880287;
Miocene;reef front;CDG2;Porites;2,439710164;;
Miocene;reef front;CDG3;Porites;2,661275;;
Miocene;reef front;CDG4;Porites;2,595078811;;
Miocene;reef front;CDG5;Porites;1,615714427;;
Miocene;reef front;CDG6;Porites;1,612408904;;
Miocene;reef front;CDG7;Porites;2,091789177;;
Miocene;reef front;CDG9;Porites;1,263686503;;
Miocene;reef front;CDG10;Porites;1,301693249;;
Miocene;reef front;CDG12;Porites;2,125;;
Miocene;proximal slope;LCD1;Porites;1,393529412;1,78716904;
Miocene;proximal slope;LCD2;Porites;2,48;;
Miocene;proximal slope;LCD3;Porites;1,446315789;;
Miocene;proximal slope;LCD4;Porites;1,609333333;;
Miocene;proximal slope;LCD5;Porites;2,006666667;;
