observation_id;access;user_id;specie_id;specie_name;location_id;location_name;latitude;longitude;resource_id;resource_secondary_id;measurement_id;trait_id;trait_name;trait_class;standard_id;standard_unit;methodology_id;methodology_name;value;value_type;precision;precision_type;precision_upper;replicates;notes
90028;1;15;37;Acropora cervicornis;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;71;mean;6.5;standard_error;NA;6;Alizarin Red staining and extension measurement. Calcification data excluded due to differences in units and cannot be normalized to g/cm2/yr. 
90033;1;15;124;Acropora palmata;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;58.5;mean;6.1;standard_error;NA;12;Alizarin Red staining and extension measurement
90034;1;15;124;Acropora palmata;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;55.4;mean;4.1;standard_error;NA;14;Alizarin Red staining and extension measurement
90035;1;15;124;Acropora palmata;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;82.7;mean;6.9;standard_error;NA;12;Alizarin Red staining and extension measurement
90036;1;15;124;Acropora palmata;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;47.3;mean;4.1;standard_error;NA;8;Alizarin Red staining and extension measurement
90037;1;15;124;Acropora palmata;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;99.3;mean;6.9;standard_error;NA;21;Alizarin Red staining and extension measurement
90038;1;15;124;Acropora palmata;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;65.4;mean;4.5;standard_error;NA;25;Alizarin Red staining and extension measurement
90039;1;15;141;Acropora prolifera;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;81.8;mean;3.2;standard_error;NA;39;Alizarin Red staining and extension measurement
90040;1;15;141;Acropora prolifera;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;59.2;mean;2.2;standard_error;NA;48;Alizarin Red staining and extension measurement
90066;1;15;973;Orbicella annularis;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;8.3;mean;0.56;standard_error;NA;16;Alizarin Red staining and extension measurement
90067;1;15;973;Orbicella annularis;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;6.6;mean;0.49;standard_error;NA;14;Alizarin Red staining and extension measurement
90068;1;15;973;Orbicella annularis;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;7;mean;0.42;standard_error;NA;21;Alizarin Red staining and extension measurement
90069;1;15;973;Orbicella annularis;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;8.9;mean;0.41;standard_error;NA;21;Alizarin Red staining and extension measurement
90075;1;15;1269;Porites astreoides;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;3.53;mean;0.32;standard_error;NA;19;Alizarin Red staining and extension measurement
90076;1;15;1269;Porites astreoides;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;3.36;mean;0.02;standard_error;NA;12;Alizarin Red staining and extension measurement
90077;1;15;1269;Porites astreoides;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;3.36;mean;0.85;standard_error;NA;3;Alizarin Red staining and extension measurement
90078;1;15;1269;Porites astreoides;248;Buck Island, St. Croix;17,790045;-64,62038;512;683;NA;60;Growth rate;Physiological;38;mm yr^-1;2;Alizarin stain;3;mean;0.12;standard_error;NA;4;Alizarin Red staining and extension measurement
98098;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);4.622;mean;0.953;standard_deviation;NA;;At least three measurements make up the mean
98099;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);4.85;mean;0.767;standard_deviation;NA;;At least three measurements make up the mean
98100;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);4.912;mean;0.767;standard_deviation;NA;;At least three measurements make up the mean
98101;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);6.487;mean;1.927;standard_deviation;NA;;At least three measurements make up the mean
98102;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);2.528;mean;0.228;standard_deviation;NA;;At least three measurements make up the mean
98103;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);2.197;mean;0.312;standard_deviation;NA;;At least three measurements make up the mean
98104;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);3.047;mean;0.851;standard_deviation;NA;;At least three measurements make up the mean
98105;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);3.565;mean;1.057;standard_deviation;NA;;At least three measurements make up the mean
98106;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);4.539;mean;1.036;standard_deviation;NA;;At least three measurements make up the mean
98107;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);4.021;mean;0.664;standard_deviation;NA;;At least three measurements make up the mean
98108;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);3.876;mean;0.374;standard_deviation;NA;;At least three measurements make up the mean
98109;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);2.28;mean;0.56;standard_deviation;NA;;At least three measurements make up the mean
98110;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);2.425;mean;0.601;standard_deviation;NA;;At least three measurements make up the mean
98111;1;1;1269;Porites astreoides;227;Discovery Bay, Jamaica;18,467479;-77,404089;399;NA;NA;60;Growth rate;Physiological;38;mm yr^-1;8;X-radiography (densitometer);2.528;mean;0.394;standard_deviation;NA;;At least three measurements make up the mean
