time;section_name;reef_section;transect_id;point_id
Oligocene;Vitigliano;back reef;VT1;Actinacis
Oligocene;Vitigliano;back reef;VT3;Actinacis
Oligocene;Vitigliano;back reef;VT3;Actinacis
Oligocene;Vitigliano;back reef;VT3;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT2;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
Oligocene;Santa Cesarea;reef front;SCT4;Actinacis
