"time
reef section";"Oligocene
back reef";"Oligocene
reef front";"Oligocene
proximal slope";"Miocene
back reef";"Miocene
reef front";"Miocene
proximal slope"
Actinacis %;0,86;13,00;0,00;0,00;0,00;0,00
Astreopora %;0,00;0,00;0,00;0,00;0,00;0,00
Bioclastic sediment %;4,96;32,02;0,00;0,00;0,00;0,00
Bivalve %;0,00;0,24;0,00;0,00;0,00;0,00
Bivalve boring %;0,00;0,00;0,00;0,00;0,00;0,00
Caulastrea %;0,00;0,00;22,11;0,00;0,00;0,00
CCA %;0,00;0,38;0,00;0,00;0,00;0,78
Cement %;0,00;0,00;0,00;0,00;13,13;0,00
Coral %;0,34;3,27;10,22;0,00;0,00;0,00
Coralline algae %;0,00;0,00;0,00;0,00;0,00;0,00
Favites %;5,05;3,76;0,69;0,00;0,00;0,00
Glauconite %;0,00;0,00;0,00;0,00;0,00;0,00
Hydnophora %;0,34;0,00;1,15;0,00;0,00;0,00
Montastrea %;0,00;0,00;0,00;0,00;0,00;0,00
NA %;0,86;1,08;2,42;0,00;2,58;1,04
Pavona %;0,57;0,00;0,00;0,00;0,00;0,00
Porites %;8,13;19,12;0,00;15,71;30,88;34,82
Poritid %;3,77;23,76;4,85;0,00;0,00;0,00
Sediment %;73,46;1,56;57,03;79,43;53,41;63,36
Shale %;0,00;0,00;0,00;0,81;0,00;0,00
Siderastrea %;0,00;0,00;0,00;4,05;0,00;0,00
Stylophora %;0,00;1,58;1,52;0,00;0,00;0,00
Tarbellastraea %;1,67;0,24;0,00;0,00;0,00;0,00
